LEMS_SimulationTime ISIM_SimulationTime ERROR_SimulationTime LEMS_neuron_model_spike ISIM_neuron_model_spike ERROR_neuron_model_spike LEMS_neuron_model_stateCURRENT_voltage_v ISIM_neuron_model_stateCURRENT_voltage_v ERROR_neuron_model_stateCURRENT_voltage_v LEMS_neuron_model_stateCURRENT_none_U ISIM_neuron_model_stateCURRENT_none_U ERROR_neuron_model_stateCURRENT_none_U LEMS_neuron_model_stateCURRENT_none_i1_I ISIM_neuron_model_stateCURRENT_none_i1_I ERROR_neuron_model_stateCURRENT_none_i1_I  
0.00375 0.003755093 2.5940384E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0038 0.003805161 2.6635137E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00385 0.003855228 2.7331767E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0039 0.003905296 2.804972E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00395 0.003955364 2.877698E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.004 0.004005432 2.950596E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00405 0.0040555 3.024918E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0041 0.004105568 3.1001646E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00415 0.004155636 3.1763352E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0042 0.004205704 3.2539617E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00425 0.004255772 3.3314504E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0043 0.00430584 3.4103945E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00435 0.004355907 3.4891628E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0044 0.004405975 3.569943E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00445 0.004456043 3.6516477E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0045 0.004506111 3.734846E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00455 0.004556179 3.8178308E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0046 0.004606247 3.9023087E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00465 0.004656315 3.9877112E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0047 0.004706383 4.0746326E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00475 0.004756451 4.1618903E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0048 0.004806519 4.2494654E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00485 0.004856586 4.3373388E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0049 0.004906654 4.427351E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00495 0.004956722 4.5182875E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.005 0.00500679 4.6107805E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00505 0.005056858 4.7035723E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0051 0.005106926 4.7966433E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00515 0.005156994 4.8912777E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0052 0.005207062 4.9868363E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00525 0.00525713 5.0839832E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0053 0.005307198 5.181397E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00535 0.005357265 5.2777054E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0054 0.005407333 5.3769492E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00545 0.005457401 5.4771174E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0055 0.005507469 5.5789054E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00555 0.005557537 5.6809286E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0056 0.005607605 5.7838765E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00565 0.005657673 5.887034E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0057 0.005707741 5.9918244E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00575 0.005757809 6.098266E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0058 0.005807877 6.2049116E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00585 0.005857944 6.311002E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0059 0.005908012 6.418738E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00595 0.00595808 6.528138E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.006 0.006008148 6.6392204E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00605 0.006058216 6.750475E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0061 0.006108284 6.862655E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00615 0.006158352 6.975759E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0062 0.00620842 7.089003E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00625 0.006258488 7.2047396E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0063 0.006308556 7.320617E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00635 0.006358624 7.437419E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0064 0.006408691 7.553526E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00645 0.006458759 7.671348E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0065 0.006508827 7.7917256E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00655 0.006558895 7.9122126E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0066 0.006608963 8.033624E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00665 0.006659031 8.155959E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0067 0.006709099 8.279219E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00675 0.006759167 8.403404E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0068 0.006809235 8.5285126E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00685 0.006859303 8.654546E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.0069 0.00690937 8.779758E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
0.00695 0.006959438 8.9076274E-11 0.0 0.0 0.0 -0.07 -0.07001472 2.1674751E-10 -14.0 -14.0 0.0 0.0 0.0 0.0 
