LEMS_SimulationTime ISIM_SimulationTime ERROR_SimulationTime LEMS_neuron_model_spike ISIM_neuron_model_spike ERROR_neuron_model_spike LEMS_neuron_model_stateCURRENT_voltage_v ISIM_neuron_model_stateCURRENT_voltage_v ERROR_neuron_model_stateCURRENT_voltage_v LEMS_neuron_model_stateCURRENT_time_lastSpikeTime ISIM_neuron_model_stateCURRENT_time_lastSpikeTime ERROR_neuron_model_stateCURRENT_time_lastSpikeTime LEMS_neuron_model_stateCURRENT_conductance_SynapseModel_g ISIM_neuron_model_stateCURRENT_conductance_SynapseModel_g ERROR_neuron_model_stateCURRENT_conductance_SynapseModel_g LEMS_neuron_model_stateCURRENT_current_SynapseModel_i ISIM_neuron_model_stateCURRENT_current_SynapseModel_i ERROR_neuron_model_stateCURRENT_current_SynapseModel_i  
0.0058 0.005807877 6.2049116E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00585 0.005857944 6.311002E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0059 0.005908012 6.418738E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00595 0.00595808 6.528138E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.006 0.006008148 6.6392204E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00605 0.006058216 6.750475E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0061 0.006108284 6.862655E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00615 0.006158352 6.975759E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0062 0.00620842 7.089003E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00625 0.006258488 7.2047396E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0063 0.006308556 7.320617E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00635 0.006358624 7.437419E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0064 0.006408691 7.553526E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00645 0.006458759 7.671348E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0065 0.006508827 7.7917256E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00655 0.006558895 7.9122126E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0066 0.006608963 8.033624E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.00665 0.006659031 8.155959E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0067 0.006709099 8.279219E-11 0.0 0.0 0.0 -0.07 -0.06999993 4.4964032E-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
