SimulationTime neuron_model_spike neuron_model_stateCURRENT_voltage_v neuron_model_stateCURRENT_time_lastSpikeTime neuron_model_stateCURRENT_conductance_SynapseModel_g neuron_model_stateCURRENT_current_SynapseModel_i 
1.161575e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.166582e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.171589e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.176596e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.181602e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.186609e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.191616e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.196623e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.201630e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.206636e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.211643e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.216650e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.221657e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.226664e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.231670e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.236677e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.241684e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.246691e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.251698e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.256704e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.261711e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.266718e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.271725e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.276731e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.281738e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.286745e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.291752e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.296759e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.301765e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.306772e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.311779e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.316786e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
